,avg._session_duration,bounce_rate,content_unique?,design_unique?,listing_type,net_profit,page_views_0,page_views_1,page_views_2,page_views_3,page_views_4,page_views_5,page_views_6,page_views_7,page_views_8,page_views_9,page_visitors_0,page_visitors_1,page_visitors_2,page_visitors_3,page_visitors_4,page_visitors_5,page_visitors_6,page_visitors_7,page_visitors_8,page_visitors_9,pages_/_session,platform,site_age,site_type,starting_price,template_unique?
0,"
  00:00:43
","
  71.92%
",,,,"
  $56 p/mo
","41,373","53,400","36,895","35,391","36,932","32,267","25,943","1,564",0,0,"21,582","27,237","19,670","18,384","17,268","14,685","12,549",558,0,0,"
  1.81
","
  PHP
","
  10 months
","
  Content
","
    $1,500 ",
0,"
  00:01:43
","
  72.34%
",,,,"
  $47 p/mo
",240,449,"1,412",79,405,0,0,0,0,0,127,177,493,56,137,0,0,0,0,0,"
  2.07
","
  —
","
  6 months
","
  eCommerce
",Ended Without a Winner,
0,"
  00:00:21
","
  86.76%
",,,,"
  $47 p/mo
",268,334,415,353,451,543,480,585,576,631,234,264,276,241,319,413,331,419,455,501,"
  1.21
","
  —
","
  4 years
","
  Services
","
    $2,000 ",
0,"
  00:01:06
","
  72.94%
",,,,"
  $45 p/mo
","14,106","5,511","5,673",0,0,0,0,0,0,0,"7,657","1,621","3,440",0,0,0,0,0,0,0,"
  2.05
","
  Wordpress 4.9
","
  5 months
","
  Content
","
    $399 ",
0,"
  00:02:25
","
  19.92%
",,,,"
  $41 p/mo
","10,312","17,663","7,792","6,569","3,452","2,050","1,301",651,804,"1,046","7,178","6,447","2,299","1,819",985,646,458,275,331,434,"
  2.38
","
  —
","
  2 years
","
  Content
","
    $500 ",
0,"
  00:00:56
","
  72.83%
",,,,"
  $38 p/mo
",398,341,288,405,778,"1,066",860,518,539,547,203,163,187,214,383,513,445,287,254,276,"
  1.72
","
  —
","
  14 years
","
  Content
",Ended Without a Winner,
0,,,,,,"
  $34 p/mo
",,,,,,,,,,,,,,,,,,,,,,"
  —
","
  3 years
","
  Transactional / Marketplace
","
    $20 ",
0,"
  00:00:49
","
  8.19%
",,,,"
  $30 p/mo
","2,897","4,160","4,378","1,735","1,664","1,683","1,463","3,134",640,0,934,"1,401","1,316","1,211","1,107","1,132",906,"1,091",9,0,"
  2.83
","
  —
","
  10 months
","
  eCommerce
",Ended Without a Winner,
0,,,,,,"
  $30 p/mo
",,,,,,,,,,,,,,,,,,,,,,"
  —
","
  2 years
","
  Content
","
    $500 ",
0,"
  00:01:39
","
  15.68%
",,,,"
  $29 p/mo
",385,334,839,968,665,842,"1,109",728,703,608,95,94,205,236,127,175,243,152,209,142,"
  3.32
","
  —
","
  7 years
","
  Services
",Ended Without a Winner,
0,"
  00:01:21
","
  77.97%
",,,,"
  $20 p/mo
","10,344","11,064","6,119","2,936",0,0,0,0,0,0,"6,122","6,778","1,667",641,0,0,0,0,0,0,"
  1.24
","
  —
","
  7 months
","
  Services
",Ended Without a Winner,
0,"
  00:00:58
","
  82.71%
",,,,"
  $19 p/mo
","4,766","4,484","3,088","3,657","2,718","1,616",887,414,752,"1,168","3,351","3,008","2,108","2,414","1,738","1,102",609,306,580,833,"
  1.28
","
  —
","
  4 years
","
  Content
",Ended Without a Winner,
0,"
  00:01:38
","
  54.67%
",,,,"
  $18 p/mo
","2,573","2,500","2,363","2,991","2,591","3,181","2,531","2,308","2,747","3,822",561,488,436,551,595,539,522,515,507,650,"
  3.18
","
  —
","
  11 years
","
  Content
","
    $3,000 ",
0,"
  00:00:22
","
  60.31%
",,,,"
  $17 p/mo
","23,368","2,550",0,0,0,0,0,0,0,0,"17,093","1,595",0,0,0,0,0,0,0,0,"
  0.84
","
  Wordpress 4.9
","
  1 year
","
  Content
","
    $100 ",
0,"
  00:08:07
","
  64.70%
",,,,"
  $17 p/mo
",817,"2,122","2,219","3,091",0,"1,923","13,987","8,168","2,869","3,190",208,317,434,635,0,793,"6,721","3,971","1,182",719,"
  3.10
","
  —
","
  1 year
","
  Transactional / Marketplace
","
    $32 ",
0,"
  00:01:07
","
  48.94%
",,,,"
  $16 p/mo
","1,939","1,969","107,232","2,061",731,707,"1,028",286,"2,548","12,984",674,680,"90,163",701,214,190,504,111,"2,418","12,387","
  2.07
","
  Wordpress 4.9
","
  1 year
","
  eCommerce
",Ended Without a Winner,
0,,,"
  Yes
","
  Yes
","
  Starter Site
","
  $16 p/mo
",,,,,,,,,,,,,,,,,,,,,,"
  —
","
  3 months
","
  eCommerce
","
    $179 ","
  No
"
0,"
  00:01:04
","
  87.56%
",,,,"
  $14 p/mo
","266,916","148,182",638,0,0,0,0,0,0,0,"199,720","94,608",216,0,0,0,0,0,0,0,"
  1.47
","
  —
","
  7 months
","
  eCommerce
","
    $200 ",
0,"
  00:00:42
","
  16.56%
","
  Yes
","
  Yes
","
  Starter Site
","
  $14 p/mo
","1,894",0,0,0,0,0,0,0,0,0,400,0,0,0,0,0,0,0,0,0,"
  1.31
","
  —
","
  3 months
","
  eCommerce
","
    $2 ","
  No
"
0,"
  00:00:46
","
  74.34%
",,,,"
  $12 p/mo
","2,990","2,956","2,275","3,144","2,939","4,437","7,190","2,684","1,191",180,"1,732","1,694","1,298","1,827","1,769","2,885","4,915","1,673",717,66,"
  1.58
","
  —
","
  1 year
","
  eCommerce
","
    $200 ",
0,"
  00:05:41
","
  61.94%
",,,,"
  $12 p/mo
","14,690","19,402","4,617",0,0,0,0,0,0,0,"6,763","7,102",283,0,0,0,0,0,0,0,"
  5.36
","
  Wordpress 4.9
","
  5 months
","
  Content
",Ended Without a Winner,
0,"
  00:01:36
","
  61.99%
",,,,"
  $11 p/mo
",651,818,965,"1,063","1,254","1,214","1,073","1,257","1,085","1,486",229,249,265,624,787,544,327,416,403,477,"
  2.93
","
  —
","
  7 years
","
  eCommerce
","
    $1,500 ",
0,"
  00:02:27
","
  50.52%
",,,,"
  $10 p/mo
","24,272","359,914","657,023",0,0,0,0,0,0,0,"4,954","50,621","67,893",0,0,0,0,0,0,0,"
  3.91
","
  —
","
  1 year
","
  Services
",Ended Without a Winner,
0,"
  00:01:38
","
  65.02%
",,,,"
  $10 p/mo
","8,542","11,421","13,692","13,625","1,001",0,0,0,0,0,"3,533","4,536","6,584","5,728",476,0,0,0,0,0,"
  2.17
","
  —
","
  4 years
","
  Content
","
    $300 ",
0,"
  00:01:14
","
  76.58%
",,,,"
  $9 p/mo
",286,389,783,"1,101",572,468,560,481,517,687,167,233,471,707,401,292,338,298,311,435,"
  1.51
","
  Wordpress 4.8
","
  4 years
","
  Content
",Ended Without a Winner,
0,"
  00:03:47
","
  46.17%
",,,,"
  $7 p/mo
","8,315","8,518","13,663","16,914","21,010","4,588","24,081","33,459","47,312","43,025","1,666","1,716","2,462","3,059","3,958",858,"2,931","3,789","6,737","5,796","
  3.93
","
  PHP
","
  5 years
","
  Services
","
    $800 ",
0,"
  00:02:29
","
  17.84%
","
  Yes
","
  Yes
","
  Starter Site
","
  $5 p/mo
","4,232",0,0,0,0,0,0,0,0,0,421,0,0,0,0,0,0,0,0,0,"
  1.85
","
  —
","
  2 months
","
  Services
",Ended Without a Winner,"
  No
"
0,"
  00:00:33
","
  72.05%
",,,,"
  $4 p/mo
",73,126,125,111,72,164,61,195,95,92,42,62,78,79,58,85,53,187,86,83,"
  1.64
","
  —
","
  3 years
","
  Content
",Ended Without a Winner,
0,"
  00:00:31
","
  86.23%
",,,,"
  $4 p/mo
","2,708","2,314","2,184","2,387","2,877","2,677","3,232","3,381","2,215",0,"2,004","1,666","1,568","1,749","2,119","1,917","2,313","2,399","1,644",0,"
  1.30
","
  —
","
  5 years
","
  Content
","
    $100 ",
0,"
  00:00:37
","
  48.25%
",,,,"
  $4 p/mo
",765,714,823,848,909,715,570,520,16,0,442,418,486,538,571,454,372,339,13,0,"
  1.59
","
  —
","
  5 years
","
  Content
","
    $50 ",
